Individual,Sex,Group,Mean Pitch
BB-4301,M,MRC1,2911.08548185231
BB-4344,M,SRB2,2977.76038961039
BB-4357,M,SRB2,3312.86981132076
BB-9304,M,SRB1,3267.84247572815
BB-4226,M,SRB1,3311.99568567026
BB-9305,F,SRB1,3018.05137741047
BB-4390,F,SRB1,3337.35890168291
BB-6788,F,SRB1,2965.65264550264
BB-9361,F,SRB1,2911.77099236641
BB-9303,M,SRB1,2700.27907488987
BB-9472,M,MRCV,3531.40306834031
BB-6728,M,MRC1,3210.63971405878
BB-9350,F,MRC1,3045.70598130841
BB-9399,M,MRC1,3174.99980237154
BB-9461,F,MRC1,2949.15368567455
BB-9377,M,MRC1,2898.65402097902
BB-6653,M,MRC1,3031.38093158661
B-40917,F,MRC1,3220.91993067591
BB-9359,F,MRC1,3179.47024456522
BB-9367,F,MRC1,3042.41694402421
BB-9397,M,MRC1,3088.06102062975
BB-9366,M,MRC1,3451.87598978288
BB-9425,M,MRC1,3158.62191069575
BB-9356,F,MRC1,3401.68035714286
BB-6768,F,MRC1,3137.09353233831
BB-4361,M,DRT1,3176.03516209476
B-41205,M,DRT1,2803.15516693164
BB-6729,F,MRC1,2618.82991452991
